County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percent Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68338,3730751,95,95,8,ELA,36,19,2650.2,42.11,47.37,89.47,5.26,5.26,19
37,68338,3730751,95,95,11,ELA,34,18,2715.2,77.78,16.67,94.44,5.56,0,18
37,73791,3730793,21,21,11,ELA,30,21,2551.4,9.52,23.81,33.33,38.1,28.57,21
37,68411,3730801,312,312,11,ELA,336,312,2574.2,18.91,33.97,52.88,21.15,25.96,312
37,68296,3730819,528,528,11,ELA,545,528,2661,46.02,33.71,79.73,13.83,6.44,528
37,68411,3730843,809,809,11,ELA,826,809,2659,46.48,34.98,81.46,11.87,6.67,809
37,68338,3730884,511,511,11,ELA,518,511,2684.2,55.58,30.72,86.3,10.76,2.94,511
37,68213,3730934,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68452,3730942,864,848,3,ELA,38,37,2409.7,24.32,18.92,43.24,24.32,32.43,37
37,68452,3730942,864,848,8,ELA,189,188,2574.8,15.96,37.77,53.72,29.26,17.02,188
37,68452,3730942,864,848,11,ELA,141,140,2679.7,51.43,37.14,88.57,10,1.43,140
37,68338,3730959,379,379,8,ELA,129,120,2517.4,3.33,26.67,30,31.67,38.33,120
37,68338,3730959,379,379,11,ELA,196,175,2603.3,20.57,41.71,62.29,24,13.71,175
37,68122,3730967,32,32,11,ELA,32,32,2614.2,18.75,59.38,78.13,12.5,9.38,32
37,75416,3730975,37,36,8,ELA,*,*,*,*,*,*,*,*,*
37,75416,3730975,37,36,11,ELA,13,12,2522.7,8.33,25,33.33,16.67,50,12
37,68213,3730991,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68213,3730991,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68346,3731007,404,403,11,ELA,423,404,2644.8,40.94,36.97,77.92,11.91,10.17,403
37,68106,3731023,173,173,11,ELA,186,173,2656.9,43.35,38.73,82.08,14.45,3.47,173
37,68338,3731056,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68411,3731064,583,583,11,ELA,611,583,2572.1,16.12,30.19,46.31,30.53,23.16,583
37,68189,3731072,123,123,8,ELA,38,36,2663.3,55.56,41.67,97.22,2.78,0,36
37,68189,3731072,123,123,11,ELA,62,54,2696.9,57.41,40.74,98.15,1.85,0,54
37,68213,3731080,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68213,3731080,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,75614,3731114,260,260,11,ELA,270,260,2618.4,33.46,30.77,64.23,21.54,14.23,260
37,68338,3731130,24,24,8,ELA,14,13,2410.2,0,0,0,15.38,84.62,13
