County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68338,3730371,788,787,11,MATH,187,178,2606.6,13.56,30.51,44.07,29.94,25.99,177
37,68411,3730405,552,552,11,MATH,562,552,2604.6,13.77,29.53,43.3,30.43,26.27,552
37,67983,3730447,36,36,11,MATH,39,36,2538.2,5.56,13.89,19.44,27.78,52.78,36
37,73551,3730694,498,498,11,MATH,562,498,2604.5,14.66,29.92,44.58,27.51,27.91,498
37,68130,3730702,405,405,11,MATH,421,405,2613.7,19.75,28.4,48.15,23.95,27.9,405
37,68452,3730728,507,507,11,MATH,509,507,2598.1,16.17,23.47,39.64,27.02,33.33,507
37,68338,3730751,92,92,3,MATH,*,*,*,*,*,*,*,*,*
37,68338,3730751,92,92,8,MATH,36,19,2685.7,68.42,15.79,84.21,15.79,0,19
37,68338,3730751,92,92,11,MATH,34,16,2718.1,50,43.75,93.75,6.25,0,16
37,73791,3730793,19,19,11,MATH,30,19,2451.8,0,0,0,15.79,84.21,19
37,68411,3730801,321,321,11,MATH,335,321,2516.3,3.12,9.66,12.77,28.97,58.26,321
37,68296,3730819,532,532,11,MATH,545,532,2655.1,31.95,29.51,61.47,21.62,16.92,532
37,68411,3730843,810,810,11,MATH,825,810,2612.3,15.19,31.73,46.91,28.89,24.2,810
37,68338,3730884,512,511,11,MATH,518,512,2680.8,37.96,28.57,66.54,25.24,8.22,511
37,68213,3730934,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68452,3730942,863,863,3,MATH,38,37,2410.7,10.81,24.32,35.14,40.54,24.32,37
37,68452,3730942,863,863,8,MATH,189,188,2541.2,11.17,20.74,31.91,34.57,33.51,188
37,68452,3730942,863,863,11,MATH,140,139,2658.1,28.78,33.81,62.59,27.34,10.07,139
37,68338,3730959,382,382,8,MATH,130,122,2478.5,2.46,7.38,9.84,23.77,66.39,122
37,68338,3730959,382,382,11,MATH,197,177,2549.2,3.95,12.43,16.38,35.59,48.02,177
37,68122,3730967,32,32,11,MATH,32,32,2551.2,9.38,9.38,18.75,34.38,46.88,32
37,75416,3730975,36,36,8,MATH,*,*,*,*,*,*,*,*,*
37,75416,3730975,36,36,11,MATH,13,11,2501.7,0,9.09,9.09,27.27,63.64,11
37,68213,3730991,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68213,3730991,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68346,3731007,405,405,11,MATH,423,405,2625.3,25.19,30.86,56.05,21.73,22.22,405
37,68106,3731023,172,172,11,MATH,185,172,2607.5,18.02,25,43.02,31.98,25,172
37,68338,3731056,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68411,3731064,583,583,11,MATH,610,583,2531,2.57,14.07,16.64,29.5,53.86,583
37,68189,3731072,125,125,8,MATH,38,35,2613.4,31.43,31.43,62.86,25.71,11.43,35
37,68189,3731072,125,125,11,MATH,62,58,2664.6,29.31,41.38,70.69,22.41,6.9,58
37,68213,3731080,*,*,8,MATH,*,*,*,*,*,*,*,*,*
